"","Industry","Year","Tariff"
"363","Transportation","2016",11.9457936007008
"364","Vegetable","2016",5.91434351835631
"365","Agricultural Raw Materials","2017",4.16965606916604
"366","Animal","2017",5.51513363917669
"367","Capital goods","2017",5.22409816344915
"368","Consumer goods","2017",14.317182775038
"369","Food Products","2017",14.6430145499589
"370","Fuels","2017",3.35004456327986
"371","Mach and Elec","2017",5.13538702262986
"372","Manufactures","2017",10.6625386811711
"373","Metals","2017",8.16868749400903
"374","Minerals","2017",3.13033162960306
"375","Miscellaneous","2017",8.14822304904056
"376","Transportation","2017",11.6866675584815
"377","Vegetable","2017",5.54014479792371
"378","Agricultural Raw Materials","2018",4.86221123746322
"379","Animal","2018",5.4670761319982
"380","Capital goods","2018",5.06907595164472
"381","Consumer goods","2018",14.9178466808544
"382","Food Products","2018",19.8982392906625
"383","Fuels","2018",3.9781746031746
"384","Mach and Elec","2018",4.93520059300391
"385","Manufactures","2018",10.8541455320589
"386","Metals","2018",8.19810573695969
"387","Minerals","2018",4.0842801300362
"388","Miscellaneous","2018",8.16937537720244
"389","Transportation","2018",13.5448282145879
"390","Vegetable","2018",5.69601335365267
